id,origami_type,task_type,method_type,incomplete_input,skipped_steps,total_time,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,date_time
17,Swan,Test1Q,Normal,None,,89.661,86.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/12/2019 13:53
17,Boat,First2,Augmented,finishedStep9,,253.535,15.89,4.992,15.037,41.167,28.752,4.302,17.207,15.828,0,0,0,0,0,0,0,4/12/2019 14:01
17,Boat,Second2,Augmented,None,,284.254,19.5,4.112,21.681,23.521,15.848,3.732,9.505,26.824,13.797,3.462,11.216,18.379,63.141,23.821,25.582,4/12/2019 14:07
17,Boat,Third2,Augmented,None,,232.024,15.749,3.892,13.566,16.577,7.763,2.632,12.407,13.316,11.714,3.571,8.325,33.176,15.266,27.592,4.102,4/12/2019 14:11
17,Boat,Test1,Augmented,None,,121.474,121.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/12/2019 14:24
18,Boat,Second1,Normal,None,,226.972,10.97,4.731,11.43,22.771,46.81,5.101,7.06,7.372,36.12,3.391,10.18,6.54,27.33,22.34,4.631,4/19/2019 9:42
18,Boat,Second1,Normal,None,,200.26,16.37,2.75,9.43,16.73,11.41,2.9,18.201,11.81,22.021,2.15,11.84,6.981,20,15.843,31.65,4/19/2019 9:45
18,Boat,Third1,Normal,None,,166.96,12.262,3.531,8.05,12.631,9.99,2.731,13.64,10.27,17.63,2.712,26.15,7.561,7.441,22.07,10.091,4/19/2019 9:48
18,Swan,First2,Normal,None,,182.011,182.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/19/2019 10:03
18,Swan,First2,Normal,finishedStep8,2,130.79,3.7,20.141,4.13,23.48,14.66,13.321,4.121,19.671,7.041,0,0,0,0,0,0,4/19/2019 10:05
18,Swan,Second2,Normal,finishedStep8,"9,10",174.871,3.211,63.44,2.82,31.37,14.22,12.061,3.631,29.81,5.421,8.76,0,0,0,0,0,4/19/2019 10:10
18,Swan,Third2,Normal,None,,132.551,1.97,16.11,10.681,35.111,8.961,11.081,4.38,17.76,17.092,9.261,0,0,0,0,0,4/19/2019 10:15
18,Swan,Test1,Normal,None,,133.991,133.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/19/2019 10:28
19,Swan,First1,Augmented,finishedStep2,,161.881,45.931,20.55,3.83,30.29,17.82,15.03,2.76,0,0,0,0,0,0,0,0,4/19/2019 11:01
19,Swan,Second1,Augmented,finishedStep9,,138.29,3.423,28.931,2.45,31.17,13.8,8.211,3.091,15.791,19.76,11.56,0,0,0,0,0,4/19/2019 11:04
19,Swan,Third1,Augmented,None,2,116.071,2.842,24.84,2.551,26.98,13.64,7.29,2.611,20.67,10.22,4.241,0,0,0,0,0,4/19/2019 11:07
19,Swan,Test1,Augmented,finishedStep5,,112.012,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/19/2019 11:19
19,Boat,First2,Normal,finishedStep8,,157.22,73.121,2.27,1.61,1.921,9.42,6.7,1.25,44.3,0,0,0,0,0,0,0,4/19/2019 11:22
19,Boat,Second2,Normal,finishedStep13,,198.291,12.42,9.08,12.681,4.95,10.76,0.551,8.245,41.95,30.42,1.213,7.891,13.21,0,0,0,4/19/2019 11:26
19,Boat,Third2,Normal,finishedStep12,,326.14,8.42,15.491,12.18,7.27,3.591,1.221,5.83,73.261,11.242,6.97,1.42,177.091,1.241,0.371,0.351,4/19/2019 11:32
19,Boat,Test1,Normal,finishedStep5,,144.101,144.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/19/2019 11:43
20,Boat,First1,Normal,finishedStep7,,182.73,6.53,4.39,23.821,36.89,21.98,6.76,0,0,0,0,0,0,0,0,0,4/24/2019 16:17
20,Boat,Second1,Normal,finishedStep13,,357.441,10.751,16.05,4.23,46.6,27.283,2.57,51.552,8.63,32.25,2.98,15.66,22.97,0,0,0,4/24/2019 16:23
20,Boat,Third1,Normal,finishedStep8,,300.21,9.54,6.911,16.101,91.412,13.741,4.572,52.331,0,0,0,0,0,0,0,0,4/24/2019 16:29
